2026-09-09 22:58:22 | INFO     | organizer            | ==============================================================
2026-09-09 22:58:22 | WARNING  | organizer.mover      | Created destination folder: Text
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: debug.log -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Text\debug.log
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  debug.log -> Text/debug.log
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for index.html
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | index.html -> Code (.html)
2026-09-09 22:58:22 | WARNING  | organizer.mover      | Created destination folder: Code
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: index.html -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Code\index.html
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  index.html -> Code/index.html
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for invoice.pdf
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | invoice.pdf -> Documents (.pdf)
2026-09-09 22:58:22 | WARNING  | organizer.mover      | Created destination folder: Documents
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: invoice.pdf -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Documents\invoice.pdf
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  invoice.pdf -> Documents/invoice.pdf
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for logo.gif
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | logo.gif -> Images (.gif)
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: logo.gif -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Images\logo.gif
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  logo.gif -> Images/logo.gif
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for mystery.xyz
2026-09-09 22:58:22 | WARNING  | organizer.main       | SKIPPED     mystery.xyz : Unsupported file type .xyz
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for notes.txt
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | notes.txt -> Text (.txt)
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: notes.txt -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Text\notes.txt
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  notes.txt -> Text/notes.txt
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for photo.jpg
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | photo.jpg -> Images (.jpg)
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: photo.jpg -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Images\photo.jpg
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  photo.jpg -> Images/photo.jpg
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for report.pdf
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | report.pdf -> Documents (.pdf)
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: report.pdf -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Documents\report.pdf
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  report.pdf -> Documents/report.pdf
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for sales.xml
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | sales.xml -> Data (.xml)
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: sales.xml -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Data\sales.xml
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  sales.xml -> Data/sales.xml
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for screenshot.PNG
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | screenshot.PNG -> Images (.png)
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: screenshot.PNG -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Images\screenshot.PNG
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  screenshot.PNG -> Images/screenshot.PNG
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for script.py
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | script.py -> Code (.py)
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: script.py -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Code\script.py
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  script.py -> Code/script.py
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for todo.md
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | todo.md -> Text (.md)
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: todo.md -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Text\todo.md
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  todo.md -> Text/todo.md
2026-09-09 22:58:22 | INFO     | organizer.main       | SUMMARY examined=18 moved=15 unsupported=3 failed=0
2026-09-09 22:58:22 | INFO     | organizer.main       | RUN FINISHED
